PROBLEM_NAME: RAP-NC-L_1105.txt
PROBLEM_TYPE: UB
NB_RESOURCES: 50000
LINEAR_TERM: 24402.7
BOUNDS SECTION: INDEX 	 UB 	 LINEAR_TERM
0 	 0.60448007 	  0.44097883
1 	 1.3209441 	 -0.24981478
2 	 2.0623877 	  0.86425397
3 	 2.4916235 	 -0.18724842
4 	 3.0277859 	 -0.66067094
5 	 3.4064796 	 -0.62765945
6 	 3.8629638 	 -0.95009217
7 	 4.647991 	 -0.52161508
8 	 5.2025771 	 -0.80250889
9 	 5.6349337 	  0.71894114
10 	 6.3160431 	  0.46929073
11 	 6.8056651 	  0.74814274
12 	 7.2287987 	  0.78598752
13 	 7.7294037 	 -0.052664348
14 	 8.372669 	  0.5666561
15 	 9.2176784 	 -0.71964612
16 	 9.7817871 	 -0.034611476
17 	 10.157974 	 -0.50411846
18 	 10.665111 	 -0.41910235
19 	 11.14813 	 -0.93535525
20 	 11.725039 	  0.7151983
21 	 12.259604 	  0.6984975
22 	 12.757207 	  0.94565194
23 	 13.375827 	  0.60782164
24 	 13.85003 	  0.96267258
25 	 14.428953 	 -0.6400143
26 	 14.68763 	 -0.9037881
27 	 15.20451 	 -0.67278683
28 	 15.74704 	  0.98920569
29 	 16.329103 	 -0.33773766
30 	 16.573454 	 -0.38567024
31 	 17.278147 	  0.60517699
32 	 17.675847 	  0.15516758
33 	 18.175238 	  0.62689078
34 	 18.606986 	 -0.04205676
35 	 19.245489 	 -0.4464918
36 	 19.921783 	  0.84636875
37 	 20.291244 	  0.39355228
38 	 20.717367 	  0.72124229
39 	 21.342378 	  0.91696907
40 	 21.850163 	  0.23296897
41 	 22.273862 	  0.86650346
42 	 22.809753 	  0.96430188
43 	 23.609691 	  0.24385231
44 	 24.059447 	 -0.86355139
45 	 24.295635 	 -0.62951147
46 	 25.149362 	  0.12015644
47 	 25.565653 	  0.89012527
48 	 25.762639 	 -0.7376593
49 	 26.09156 	  0.85625734
50 	 26.446365 	 -0.82265948
51 	 26.822117 	 -0.35462324
52 	 27.100277 	  0.23364044
53 	 27.807466 	  0.96758782
54 	 28.031882 	  0.54479866
55 	 28.523138 	  0.33442257
56 	 28.980291 	 -0.32744562
57 	 29.682173 	  0.71530094
58 	 29.888698 	 -0.5809447
59 	 30.414131 	 -0.023209772
60 	 31.039086 	  0.29155303
61 	 31.384106 	  0.04776356
62 	 32.07747 	 -0.90117773
63 	 32.50728 	  0.38422076
64 	 32.961132 	  0.14497664
65 	 33.551857 	 -0.96388444
66 	 34.0375 	  0.58393634
67 	 34.223255 	 -0.19547079
68 	 34.991261 	  0.24553248
69 	 35.488377 	  0.70639129
70 	 36.125178 	 -0.39352984
71 	 36.574257 	 -0.51732595
72 	 37.283438 	 -0.18705061
73 	 37.832157 	  0.89840583
74 	 38.353358 	 -0.74414387
75 	 38.909439 	 -0.24184435
76 	 39.469258 	 -0.42635617
77 	 40.01124 	  0.26743846
78 	 40.431289 	 -0.45932026
79 	 41.100216 	 -0.74759918
80 	 41.394016 	 -0.25310908
81 	 41.707227 	  0.27596808
82 	 42.366073 	 -0.67615802
83 	 43.115887 	 -0.21508241
84 	 43.575219 	  0.74330847
85 	 44.111664 	 -0.85069835
86 	 44.431356 	  0.35938241
87 	 44.937694 	 -0.031926499
88 	 45.407511 	  0.55581418
89 	 45.78731 	  0.87854836
90 	 46.328987 	  0.70323058
91 	 47.008988 	  0.24596578
92 	 47.560894 	  0.48750343
93 	 47.968128 	  0.71240918
94 	 48.806 	 -0.0075718497
95 	 49.241214 	  0.022948151
96 	 49.749448 	  0.12205367
97 	 50.475009 	  0.94224983
